IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150117202,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/07/2015,10:00,MISSION,NONE,16TH ST / MISSION ST,-122.419671780296,37.7650501214668,"(37.7650501214668, -122.419671780296)",15011720207021
150117371,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,23:00,CENTRAL,NONE,900 Block of JONES ST,-122.413755582047,37.7900138156018,"(37.7900138156018, -122.413755582047)",15011737107021
150117387,VEHICLE THEFT,STOLEN TRUCK,Friday,02/06/2015,16:00,INGLESIDE,NONE,0 Block of MONTCALM ST,-122.405955158105,37.7476999795481,"(37.7476999795481, -122.405955158105)",15011738707025
150117393,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,23:00,INGLESIDE,NONE,1600 Block of SUNNYDALE AV,-122.417144802399,37.7121502932531,"(37.7121502932531, -122.417144802399)",15011739307021
150117412,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,18:00,INGLESIDE,NONE,CORTLAND AV / MISSION ST,-122.422842376051,37.7410287442117,"(37.7410287442117, -122.422842376051)",15011741207021
150117779,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,01/05/2015,12:38,PARK,NONE,200 Block of OLYMPIA WY,-122.455444955891,37.7514234899336,"(37.7514234899336, -122.455444955891)",15011777907021
150117826,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/07/2015,18:16,CENTRAL,"ARREST, BOOKED",500 Block of JACKSON ST,-122.404766823685,37.7962022664393,"(37.7962022664393, -122.404766823685)",15011782607021
150117832,VEHICLE THEFT,STOLEN TRUCK,Thursday,02/05/2015,21:00,SOUTHERN,NONE,MINNA ST / 4TH ST,-122.403715607574,37.7840428115732,"(37.7840428115732, -122.403715607574)",15011783207025
150117882,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,02/06/2015,17:30,MISSION,NONE,16TH ST / POTRERO AV,-122.407538332319,37.7657827544276,"(37.7657827544276, -122.407538332319)",15011788207021
150118733,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/07/2015,20:00,CENTRAL,NONE,BATTERY ST / VALLEJO ST,-122.401242889477,37.7995312586369,"(37.7995312586369, -122.401242889477)",15011873307021
